ordinal	ccd_atom_id	ccd_alt_atom_id	element	cgenff_atom_name	cgenff_atom_type	charge_e	charge_penalty	ligand_reader_coordinate_shift_angstrom
1	C10	C1	C	C1	CG321	-0.174	0.0	0.013304134695650083
2	C13	C2	C	C2	CG2R61	0.041	0.474	0.03661966684720131
3	C15	C3	C	C3	CG301	0.092	0.805	0.038444765573481546
4	C17	C4	C	C4	CG321	-0.026	0.0	0.04665833258915295
5	C20	C5	C	C5	CG321	0.005	0.0	0.07881624198095134
6	C21	C6	C	C6	CG331	-0.271	0.319	0.026944387170615067
7	C22	C7	C	C7	CG331	-0.271	0.319	0.03363034344160051
8	C24	C8	C	C8	CG2O1	0.448	11.959	0.09510520490488414
9	C26	C9	C	C9	CG321	-0.193	0.19	0.0853814968245459
10	C28	C10	C	C10	CG331	-0.263	0.0	0.04928488612140705
11	C09	C11	C	C11	CG311	0.182	0.747	0.06375735251718016
12	C11	C12	C	C12	CG321	-0.212	0.656	0.05381449618829457
13	C12	C13	C	C13	CG321	-0.201	0.0	0.04900000000000008
14	C14	C14	C	C14	CG311	0.244	0.442	0.02473863375370614
15	C16	C15	C	C15	CG2R61	0.056	0.0	0.03834057902536159
16	C18	C16	C	C16	CG301	-0.074	0.0	0.04519955751995789
17	C19	C17	C	C17	CG321	-0.243	0.213	0.03753664875824691
18	C23	C18	C	C18	CG2R66	0.107	0.474	0.04981967482832426
19	C25	C19	C	C19	CG2R61	-0.218	0.0	0.03627671429443414
20	C27	C20	C	C20	CG2R51	0.036	16.329	0.07085901495222756
21	C29	C21	C	C21	CG331	-0.263	0.0	0.053122499941174656
22	C30	C22	C	C22	CG331	-0.263	0.0	0.051720402163942955
23	C31	C23	C	C23	CG2R51	0.288	32.293	0.07447147104764357
24	C32	C24	C	C24	CG2R53	0.167	26.346	0.08991106717195604
25	C33	C25	C	C25	CG2R61	-0.229	0.0	0.06211280061307799
26	C34	C26	C	C26	CG2R66	0.261	0.0	0.01967231557290587
27	C35	C27	C	C27	CG331	-0.27	0.19	0.08215229759416345
28	F01	F1	F	F1	FGR1	-0.136	0.0	0.08786922100485485
29	F02	F2	F	F2	FGR1	-0.21	0.0	0.024020824298928607
30	N04	N1	N	N1	NG311	-0.818	0.349	0.2221395957500599
31	N05	N2	N	N2	NG2R51	-0.021	14.433	0.028930952282978904
32	N06	N3	N	N3	NG311	-0.581	0.0	0.14036025078347517
33	N07	N4	N	N4	NG2S1	-0.308	25.561	0.137669895038821
34	N08	N5	N	N5	NG2R50	-0.735	32.824	0.1129690223025762
35	O03	O1	O	O	OG2D1	-0.449	0.0	0.207752256305437
36	H1	H1	H	H2	HGA2	0.09	0.0	0.031032241298365664
37	H2	H2	H	H1	HGA2	0.09	0.0	0.06410148204214922
38	H3	H3	H	H4	HGA2	0.09	0.0	0.08314445261110345
39	H4	H4	H	H3	HGA2	0.09	0.0	0.05892367945062495
40	H5	H5	H	H6	HGA2	0.09	0.0	0.08653900854528043
41	H6	H6	H	H5	HGA2	0.09	0.0	0.14340850741849287
42	H7	H7	H	H8	HGA3	0.09	0.0	0.04825971404805466
43	H8	H8	H	H7	HGA3	0.09	0.0	0.0724016574395918
44	H9	H9	H	H9	HGA3	0.09	0.0	0.04167733196834942
45	H10	H10	H	H12	HGA3	0.09	0.0	0.04350861983561425
46	H11	H11	H	H11	HGA3	0.09	0.0	0.07406753674856469
47	H12	H12	H	H10	HGA3	0.09	0.0	0.0564712316139821
48	H13	H13	H	H14	HGA2	0.09	0.0	0.0745721127500087
49	H14	H14	H	H13	HGA2	0.09	0.0	0.09873702446397675
50	H15	H15	H	H15	HGA3	0.09	0.0	0.1231178297404557
51	H16	H16	H	H17	HGA3	0.09	0.0	0.1835456346525301
52	H17	H17	H	H16	HGA3	0.09	0.0	0.19237723358027592
53	H18	H18	H	H18	HGA1	0.09	0.0	0.02202271554554525
54	H19	H19	H	H20	HGA2	0.09	0.0	0.06801470429252805
55	H20	H20	H	H19	HGA2	0.09	0.0	0.10993634521849474
56	H21	H21	H	H22	HGA2	0.09	0.0	0.04576024475459028
57	H22	H22	H	H21	HGA2	0.09	0.0	0.06717886572427346
58	H23	H23	H	H23	HGA1	0.09	0.0	0.11014535850411465
59	H24	H24	H	H25	HGA2	0.09	0.0	0.05557877292636125
60	H25	H25	H	H24	HGA2	0.09	0.0	0.03482814953453579
61	H26	H26	H	H26	HGR62	0.174	0.0	0.037134889255253975
62	H27	H27	H	H27	HGR52	0.005	3.211	0.18268278517692907
63	H28	H28	H	H28	HGA3	0.09	0.0	0.05930430001273199
64	H29	H29	H	H30	HGA3	0.09	0.0	0.07692853826766732
65	H30	H30	H	H29	HGA3	0.09	0.0	0.06072890580275616
66	H31	H31	H	H31	HGA3	0.09	0.0	0.07239475119095266
67	H32	H32	H	H33	HGA3	0.09	0.0	0.07405403432629398
68	H33	H33	H	H32	HGA3	0.09	0.0	0.052201532544553404
69	H34	H34	H	H34	HGR52	0.085	0.676	0.10086624807139406
70	H35	H35	H	H35	HGR62	0.186	0.0	0.06400781202322042
71	H36	H36	H	H37	HGA3	0.09	0.0	0.0976422039898725
72	H37	H37	H	H36	HGA3	0.09	0.0	0.10601886624558862
73	H38	H38	H	H38	HGA3	0.09	0.0	0.10064293318460053
74	H39	H39	H	H39	HGPAM1	0.367	0.0	1.086046960310649
75	H41	H41	H	H40	HGPAM1	0.322	0.0	0.771057715090122
76	H43	H43	H	H41	HGP1	0.303	1.5	0.16768422704595676
